Price,Pad
10.0,1.0
10.099833416646828,1.0
10.198669330795061,1.0
10.29552020666134,1.0
10.38941834230865,1.0
10.479425538604204,1.0
10.564642473395036,1.0
10.644217687237692,1.0
10.717356090899523,1.0
10.783326909627483,1.0
10.841470984807897,1.0
10.891207360061436,1.0
10.932039085967226,1.0
10.963558185417194,1.0
10.98544972998846,1.0
10.997494986604055,1.0
10.999573603041505,1.0
10.991664810452468,1.0
10.973847630878195,1.0
10.946300087687414,1.0
10.909297426825681,1.0
10.863209366648874,1.0
10.80849640381959,1.0
10.74570521217672,1.0
10.675463180551152,1.0
10.598472144103956,1.0
10.515501371821465,1.0
10.42737988023383,1.0
10.334988150155905,1.0
10.239249329213981,1.0
10.141120008059866,1.0
10.04158066243329,1.0
9.94162585657242,1.0
9.842254305856752,1.0
9.744458897973168,1.0
9.64921677231038,1.0
9.557479556705147,1.0
9.470163859091507,1.0
9.38814210905728,1.0
9.312233840816026,1.0
9.243197504692072,1.0
9.181722888935589,1.0
9.128424227586411,1.0
9.083834063250546,1.0
9.048397926110484,1.0
9.022469882334903,1.0
9.006308996366535,1.0
9.0000767424359,1.0
9.00383539116416,1.0
9.017547387375668,1.0
9.041075725336862,1.0
9.074185317672267,1.0
9.116545344279848,1.0
9.1677325577761,1.0
9.227235512444013,1.0
9.294459674429609,1.0
9.36873336212768,1.0
9.449314457402362,1.0
9.535397820586244,1.0
9.626123335169764,1.0
9.720584501801074,1.0
9.817837495727906,1.0
9.916910597182504,1.0
10.016813900484351,1.0
10.116549204850493,1.0
10.215119988087816,1.0
10.31154136351338,1.0
10.404849920616599,1.0
10.494113351138608,1.0
10.5784397643882,1.0
10.656986598718788,1.0
10.728969040125877,1.0
10.793667863849153,1.0
10.850436620628566,1.0
10.898708095811626,1.0
10.937999976774739,1.0
10.967919672031487,1.0
10.988168233877001,1.0
10.998543345374605,1.0
10.998941341839773,1.0
10.989358246623382,1.0
10.969889810845086,1.0
10.940730556679773,1.0
10.902171833756293,1.0
10.854598908088281,1.0
10.79848711262349,1.0
10.734397097874114,1.0
10.662969230082181,1.0
10.584917192891762,1.0
10.501020856457885,1.0
10.412118485241757,1.0
10.319098362349353,1.0
10.222889914100247,1.0
10.124454423507062,1.0
10.024775425453358,1.0
9.92484887953819,1.0
9.825673218777018,1.0
9.728239373589055,1.0
9.633520870748072,1.0
